model,task,n,rank,seed,epochs,accuracy,trainable_params,trainable_pct
bert-base-uncased,mrpc,1000,16,1024,3,0.7475490196078431,591362,0.5372
bert-base-uncased,mrpc,1000,16,123,3,0.7352941176470589,591362,0.5372
bert-base-uncased,mrpc,1000,16,42,3,0.7181372549019608,591362,0.5372
bert-base-uncased,mrpc,1000,16,456,3,0.7622549019607843,591362,0.5372
bert-base-uncased,mrpc,1000,16,789,3,0.7818627450980392,591362,0.5372
bert-base-uncased,mrpc,1000,2,1024,3,0.7058823529411765,75266,0.0687
bert-base-uncased,mrpc,1000,2,123,3,0.7205882352941176,75266,0.0687
bert-base-uncased,mrpc,1000,2,42,3,0.7107843137254902,75266,0.0687
bert-base-uncased,mrpc,1000,2,456,3,0.7107843137254902,75266,0.0687
bert-base-uncased,mrpc,1000,2,789,3,0.7377450980392157,75266,0.0687
bert-base-uncased,mrpc,1000,32,1024,3,0.7401960784313726,1181186,1.0674
bert-base-uncased,mrpc,1000,32,123,3,0.7965686274509803,1181186,1.0674
bert-base-uncased,mrpc,1000,32,42,3,0.7892156862745098,1181186,1.0674
bert-base-uncased,mrpc,1000,32,456,3,0.7769607843137255,1181186,1.0674
bert-base-uncased,mrpc,1000,32,789,3,0.8014705882352942,1181186,1.0674
bert-base-uncased,mrpc,1000,4,1024,3,0.7230392156862745,148994,0.1359
bert-base-uncased,mrpc,1000,4,123,3,0.75,148994,0.1359
bert-base-uncased,mrpc,1000,4,42,3,0.7328431372549019,148994,0.1359
bert-base-uncased,mrpc,1000,4,456,3,0.7254901960784313,148994,0.1359
bert-base-uncased,mrpc,1000,4,789,3,0.7598039215686274,148994,0.1359
bert-base-uncased,mrpc,1000,64,1024,3,0.7843137254901961,2360834,2.1108
bert-base-uncased,mrpc,1000,64,123,3,0.8063725490196079,2360834,2.1108
bert-base-uncased,mrpc,1000,64,42,3,0.7426470588235294,2360834,2.1108
bert-base-uncased,mrpc,1000,64,456,3,0.7720588235294118,2360834,2.1108
bert-base-uncased,mrpc,1000,64,789,3,0.8112745098039216,2360834,2.1108
bert-base-uncased,mrpc,1000,8,1024,3,0.7549019607843137,296450,0.27
bert-base-uncased,mrpc,1000,8,123,3,0.7769607843137255,296450,0.27
bert-base-uncased,mrpc,1000,8,42,3,0.7426470588235294,296450,0.27
bert-base-uncased,mrpc,1000,8,456,3,0.7622549019607843,296450,0.27
bert-base-uncased,mrpc,1000,8,789,3,0.7303921568627451,296450,0.27
bert-base-uncased,mrpc,100,16,1024,10,0.6813725490196079,591362,0.5372
bert-base-uncased,mrpc,100,16,123,10,0.696078431372549,591362,0.5372
bert-base-uncased,mrpc,100,16,42,10,0.7009803921568627,591362,0.5372
bert-base-uncased,mrpc,100,16,456,10,0.6838235294117647,591362,0.5372
bert-base-uncased,mrpc,100,16,789,10,0.6911764705882353,591362,0.5372
bert-base-uncased,mrpc,100,2,1024,10,0.6838235294117647,75266,0.0687
bert-base-uncased,mrpc,100,2,123,10,0.6838235294117647,75266,0.0687
bert-base-uncased,mrpc,100,2,42,10,0.6838235294117647,75266,0.0687
bert-base-uncased,mrpc,100,2,456,10,0.6838235294117647,75266,0.0687
bert-base-uncased,mrpc,100,2,789,10,0.6838235294117647,75266,0.0687
bert-base-uncased,mrpc,100,32,1024,10,0.696078431372549,1181186,1.0674
bert-base-uncased,mrpc,100,32,123,10,0.7156862745098039,1181186,1.0674
bert-base-uncased,mrpc,100,32,42,10,0.7009803921568627,1181186,1.0674
bert-base-uncased,mrpc,100,32,456,10,0.6862745098039216,1181186,1.0674
bert-base-uncased,mrpc,100,32,789,10,0.7058823529411765,1181186,1.0674
bert-base-uncased,mrpc,100,4,1024,10,0.6838235294117647,148994,0.1359
bert-base-uncased,mrpc,100,4,123,10,0.6838235294117647,148994,0.1359
bert-base-uncased,mrpc,100,4,42,10,0.6838235294117647,148994,0.1359
bert-base-uncased,mrpc,100,4,456,10,0.6838235294117647,148994,0.1359
bert-base-uncased,mrpc,100,4,789,10,0.6838235294117647,148994,0.1359
